base_name,indication,mg_per_dose,dosing_period,daily_dose,dosage_forms,ephmra_code
sibeprenlimab,primary immunoglobulin A nephropathy (IgAN),400,every 4 weeks,14.29,400/2 syringe,G4X (All Other Urological Products)
siltuximab,multicentric Castleman's disease (MCD) who are HIV negative and HHV-8 negative,770.0,every 3 weeks,36.67,100 vial|400 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
spesolimab,generalized pustular psoriasis (GPP) when not experiencing a flare,300,every 4 weeks,10.71,300/2 prefilled syringe|150/1 prefilled syringe|300/2 syringe|150/1 syringe,L4C (Interleukin Inhibitors)
spesolimab,generalized pustular psoriasis (GPP) flare,900,single dose,2.47,450/7.5 vial,L4C (Interleukin Inhibitors)
sutimlimab,cold agglutinin disease,7000,every 2 weeks,350,1100/22 vial,B3X (Other Anti-Anaemic Products Including Folic Acid Folinic Acid)
tafasitamab,relapsed or refractory diffuse large B-cell lymphoma (DLBCL),840,every 2 weeks,46.03,200 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
talquetamab,relapsed or refractory multiple myeloma,28|56,weekly|every 2 weeks,4.0,3/1.5 vial|40/mL vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
teclistamab,relapsed or refractory multiple myeloma in combination with daratumumab and hyaluronidase-fihj,210.0,every four weeks,5.74,30/3 vial|153/1.7 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
teclistamab,relapsed or refractory multiple myeloma monotherapy,105.0,every two weeks,5.48,30/3 vial|153/1.7 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
telisotuzumab,"locally advanced or metastatic, non-squamous non-small cell lung cancer (NSCLC) with high c-Met protein overexpression",133.0,every 2 weeks,10.23,20 vial|100 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
teplizumab,Stage 2 type 1 diabetes,1751.0,single 14-day course,67.7,2/2 vial,A10X9 (Other Drugs Used in Diabetes)
teprotumumab,Thyroid Eye Disease,1400,every 3 weeks,266.67,500 vial,S1R (Ophthalmic Non-Steroidal Anti-Inflammatories)
tezepelumab,severe asthma,210,every 4 weeks,7.5,210/1.91 vial|210/1.91 syringe|210/1.91 pen,R3X2 (All Other Anti-Asthma and COPD Products Systemic)
tezepelumab,chronic rhinosinusitis with nasal polyps,210,every 4 weeks,7.5,210/1.91 vial|210/1.91 syringe|210/1.91 pen,R3X2 (All Other Anti-Asthma and COPD Products Systemic)
tildrakizumab,moderate-to-severe plaque psoriasis,100,every 12 weeks,8.22,100/1 syringe,D5B (Systemic Antipsoriasis Products)
tislelizumab,Esophageal Cancer - First-line ESCC with platinum-containing chemotherapy,150|200|300|400,every 2 weeks|every 3 weeks|every 4 weeks|every 6 weeks,10.71|9.52,100/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tislelizumab,Esophageal Cancer - Previously treated ESCC single agent,150|200|300|400,every 2 weeks|every 3 weeks|every 4 weeks|every 6 weeks,10.71|9.52,100/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tislelizumab,Gastric Cancer - First-line HER2-negative G/GEJ with platinum and fluoropyrimidine,150|200|300|400,every 2 weeks|every 3 weeks|every 4 weeks|every 6 weeks,10.71|9.52,100/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tisotumab,recurrent or metastatic cervical cancer with disease progression on or after chemotherapy,140,every 3 weeks,6.67,40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
tocilizumab,Rheumatoid Arthritis,280|560|162,every 4 weeks|every other week|every week,10.0|20.0|11.57|23.14|8.1|23.1|14.54,IV infusion|subcutaneous injection|80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Giant Cell Arteritis,420|162,every 4 weeks|every week|every other week,15.0|23.14|11.57|23.1|8.1|10.93,IV infusion|subcutaneous injection|80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Systemic Sclerosis-Associated Interstitial Lung Disease,162,every week,23.14,subcutaneous injection|80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Cytokine Release Syndrome,560,as needed|single dose,560.0,IV infusion|80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,COVID-19,560,single dose,560.0|1.53,IV infusion|80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,M1C (Specific Anti-Rheumatic Agents)
toripalimab,metastatic or recurrent locally advanced nasopharyngeal carcinoma,240|210,every 3 weeks|every 2 weeks,11.43|15.0,240/6 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tralokinumab,moderate-to-severe atopic dermatitis,300.0,every other week,11.54,150/1 prefilled syringe|300/2 autoinjector,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
trastuzumab,Adjuvant Breast Cancer,140|420|600,weekly|every 3 weeks,20|28.57|28,150 vial|420 vial|600/5 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
trastuzumab,Metastatic Breast Cancer,140|600,weekly|every 3 weeks,20|28.57,150 vial|420 vial|600/5 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
trastuzumab,Metastatic Gastric Cancer,420,every 3 weeks,20|28,150 vial|420 vial|600/5 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
tremelimumab,unresectable hepatocellular carcinoma (uHCC),300.0,single dose,0.82,25/1.25 vial|300/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
tremelimumab,metastatic non-small cell lung cancer (NSCLC),75.0,every 3 weeks for 4 cycles then one additional dose at week 16,1.03,25/1.25 vial|300/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ublituximab,relapsing forms of multiple sclerosis,450,every 24 weeks,2.63,150/6 vial,N7A (Multiple Sclerosis Products)
ustekinumab,plaque psoriasis ≤100kg,45,every 12 weeks,1.44,45/0.5 syringe|45/0.5 vial,N7A (Multiple Sclerosis Products)
ustekinumab,plaque psoriasis >100kg,90,every 12 weeks,2.88,90/1 syringe,N7A (Multiple Sclerosis Products)
ustekinumab,psoriatic arthritis,45|90,every 12 weeks,1.44|2.88,45/0.5 syringe|45/0.5 vial|90/1 syringe,N7A (Multiple Sclerosis Products)
ustekinumab,Crohn's disease,90,every 8 weeks,5.84|5.86|5.89,45/0.5 syringe|45/0.5 vial|90/1 syringe,N7A (Multiple Sclerosis Products)
ustekinumab,ulcerative colitis,90,every 8 weeks,5.84|5.86|5.89,45/0.5 syringe|45/0.5 vial|90/1 syringe,N7A (Multiple Sclerosis Products)
vedolizumab,moderately to severely active ulcerative colitis,300|108,every 8 weeks|every 2 weeks,5.77|7.71,300 vial|108/0.68 syringe|108/0.68 pen,A7E9 (Inflammatory Bowel Disorder Products Other)
vedolizumab,moderately to severely active Crohn's disease,300|108,every 8 weeks|every 2 weeks,5.77|7.71,300 vial|108/0.68 syringe|108/0.68 pen,A7E9 (Inflammatory Bowel Disorder Products Other)
vilobelimab,COVID-19,800,"Days 1, 2, 4, 8, 15, 22",13.15,200/20 vial,L4E (Complement Inhibitors)
zanidatamab,"previously treated, unresectable or metastatic HER2-positive biliary tract cancer",1400,every 2 weeks,76.92,300 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zenocutuzumab,"Advanced, unresectable or metastatic non-small cell lung cancer (NSCLC) harboring a neuregulin 1 (NRG1) gene fusion",750,every 2 weeks,53.57,375/18.75 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zenocutuzumab,"Advanced, unresectable or metastatic pancreatic adenocarcinoma harboring a neuregulin 1 (NRG1) gene fusion",750,every 2 weeks,53.57,375/18.75 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zolbetuximab,locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction adenocaroma (CLDN18.2 positive),1020,every 3 weeks,48.57,100 vial|300 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
