base_name,indication,mg_per_dose,dosing_period,dosage_forms,route,designated_daily_dose,ephmra_code
rituximab,Chronic Lymphocytic Leukemia,850,every 28 days,100/10 vial|500/50 vial,intravenous,13.98,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Zevalin therapeutic regimen,425,per Zevalin package insert,100/10 vial|500/50 vial,intravenous,4.66,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Rheumatoid Arthritis,1000,"two doses separated by 2 weeks, every 24 weeks",100/10 vial|500/50 vial,intravenous,5.48,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,GPA/MPA - induction treatment,638,weekly for 4 weeks,100/10 vial|500/50 vial,intravenous,7,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,GPA/MPA - follow up treatment,500,every 6 months,100/10 vial|500/50 vial,intravenous,2.74,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Pemphigus Vulgaris,500,at Month 12 and every 6 months thereafter,100/10 vial|500/50 vial,intravenous,2.74,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Follicular Lymphoma - maintenance therapy,1400,every 8 weeks,1400/11.7 vial,subcutaneous,23.01,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Non-progressing Follicular Lymphoma after CVP,1400,once weekly for 3 weeks at 6 month intervals,1400/11.7 vial,subcutaneous,23.01,L1G1 (Monoclonal Antibody Antineoplastics CD20)
romosozumab,osteoporosis in postmenopausal women at high risk for fracture,210,once monthly,105/1.17 syringe,subcutaneous,7.48,M5X (All Other Musculoskeletal Products)
rozanolixizumab,generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) or anti-muscle-specific tyrosine kinase (MuSK) antibody positive,630,once weekly for 6 weeks,280/2 vial|420/3 vial|560/4 vial|840/6 vial,subcutaneous,10.36,M5X (All Other Musculoskeletal Products)
sacituzumab,Unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received two or more prior systemic therapies,700,weekly on Days 1 and 8 of 21-day cycles,180 vial,intravenous,30.68,L1G9 (Monoclonal Antibody Antineoplastics Other)
sacituzumab,"Unresectable locally advanced or metastatic hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer",700,weekly on Days 1 and 8 of 21-day cycles,180 vial,intravenous,30.68,L1G9 (Monoclonal Antibody Antineoplastics Other)
sarilumab,rheumatoid arthritis,200,every 2 weeks,150/1.14 syringe|200/1.14 syringe|150/1.14 pen|200/1.14 pen,subcutaneous,14.25,L4C (Interleukin Inhibitors)
sarilumab,polymyalgia rheumatica,200,every 2 weeks,150/1.14 syringe|200/1.14 syringe|150/1.14 pen|200/1.14 pen,subcutaneous,14.25,L4C (Interleukin Inhibitors)
satralizumab,neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,120,every 4 weeks,120/1 syringe,subcutaneous,4.27,N7X (All Other CNS Drugs)
sibeprenlimab,primary immunoglobulin A nephropathy (IgAN),400,every 4 weeks,400/2 syringe,subcutaneous,14.25,G4X (All Other Urological Products)
siltuximab,multicentric Castleman's disease (MCD) who are HIV negative and HHV-8 negative,770,every 3 weeks,100 vial|400 vial,intravenous,35.86,L1G9 (Monoclonal Antibody Antineoplastics Other)
spesolimab,generalized pustular psoriasis (GPP) maintenance,300,every 4 weeks,300/2 prefilled syringe|150/1 prefilled syringe,subcutaneous,10.68,L4C (Interleukin Inhibitors)
spesolimab,generalized pustular psoriasis (GPP) flare,900,single dose,450/7.5 vial,intravenous,2.47,L4C (Interleukin Inhibitors)
sutimlimab,cold agglutinin disease,7000,every 2 weeks,1100/22 vial,intravenous,350,B3X (Other Anti-Anaemic Products Including Folic Acid Folinic Acid)
tafasitamab,relapsed or refractory diffuse large B-cell lymphoma (DLBCL),840,every 2 weeks,200 vial,intravenous,59.84,L1G9 (Monoclonal Antibody Antineoplastics Other)
talquetamab,relapsed or refractory multiple myeloma,56,every 2 weeks,3/1.5 vial|40/1 vial,subcutaneous,3.99,L1G9 (Monoclonal Antibody Antineoplastics Other)
teclistamab,relapsed or refractory multiple myeloma in combination with daratumumab and hyaluronidase-fihj,210,every 4 weeks,30/3 vial|153/1.7 vial,subcutaneous,7.48,L1G9 (Monoclonal Antibody Antineoplastics Other)
teclistamab,relapsed or refractory multiple myeloma monotherapy,105,weekly,30/3 vial|153/1.7 vial,subcutaneous,14.96,L1G9 (Monoclonal Antibody Antineoplastics Other)
telisotuzumab,"locally advanced or metastatic, non-squamous non-small cell lung cancer (NSCLC) with high c-Met protein overexpression",133,every 2 weeks,20 vial|100 vial,intravenous,9.47,L1G9 (Monoclonal Antibody Antineoplastics Other)
teplizumab,delay onset of Stage 3 type 1 diabetes in Stage 2 type 1 diabetes,1.75,daily for 14 days,2/2 vial,intravenous,0.07,A10X9 (Other Drugs Used in Diabetes)
teprotumumab,Thyroid Eye Disease,1400,every 3 weeks,500 vial,intravenous,65.21,S1R (Ophthalmic Non-Steroidal Anti-Inflammatories)
tezepelumab,severe asthma,210,every 4 weeks,210/1.91 vial|210/1.91 syringe|210/1.91 pen,subcutaneous,7.48,R3X2 (All Other Anti-Asthmatics and COPD Products Systemic)
tezepelumab,chronic rhinosinusitis with nasal polyps,210,every 4 weeks,210/1.91 vial|210/1.91 syringe|210/1.91 pen,subcutaneous,7.48,R3X2 (All Other Anti-Asthmatics and COPD Products Systemic)
tildrakizumab,moderate-to-severe plaque psoriasis,100,every 12 weeks,100/1 syringe,subcutaneous,1.1,D5B (Systemic Antipsoriasis Products)
tislelizumab,Esophageal Cancer - First-Line Treatment,200,every 3 weeks,100/10 vial,intravenous,9.32,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tislelizumab,Esophageal Cancer - Previously Treated,200,every 3 weeks,100/10 vial,intravenous,9.32,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tislelizumab,Gastric Cancer,200,every 3 weeks,100/10 vial,intravenous,9.32,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tisotumab,recurrent or metastatic cervical cancer with disease progression on or after chemotherapy,140,every 3 weeks,40 vial,intravenous,6.52,L1G9 (Monoclonal Antibody Antineoplastics Other)
tocilizumab,Rheumatoid Arthritis,280,every 4 weeks,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,intravenous,9.97,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Rheumatoid Arthritis,162,every other week,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,subcutaneous,11.54,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Giant Cell Arteritis,420,every 4 weeks,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,intravenous,14.96,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Giant Cell Arteritis,162,every other week,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,subcutaneous,11.54,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Systemic Sclerosis-Associated Interstitial Lung Disease,162,every week,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,subcutaneous,23.08,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,Cytokine Release Syndrome,560,single dose,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,intravenous,1.53,M1C (Specific Anti-Rheumatic Agents)
tocilizumab,COVID-19,560,single dose,80/4 vial|200/10 vial|400/20 vial|162/0.9 prefilled syringe|162/0.9 prefilled autoinjector,intravenous,1.53,M1C (Specific Anti-Rheumatic Agents)
toripalimab,"First-line Treatment of Metastatic or Recurrent, Locally Advanced NPC with Cisplatin and Gemcitabine",240,every three weeks,240/6 vial,intravenous,11.18,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
toripalimab,Previously Treated Unresectable or Metastatic NPC,210,every two weeks,240/6 vial,intravenous,14.96,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
tralokinumab,moderate-to-severe atopic dermatitis,300,every other week,150/1 syringe|300/2 autoinjector,subcutaneous,21.37,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
trastuzumab,Adjuvant Breast Cancer,280,weekly,150 vial|440 vial,intravenous,39.9,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
trastuzumab,Adjuvant Breast Cancer,600,every three weeks,600/5 vial,subcutaneous,27.95,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
tremelimumab,unresectable hepatocellular carcinoma (uHCC),300,single dose,25/1.25 vial|300/15 vial,intravenous,0.82,L1G9 (Monoclonal Antibody Antineoplastics Other)
tremelimumab,metastatic non-small cell lung cancer (NSCLC),75,"every 3 weeks for 4 cycles, then one additional dose at week 16",25/1.25 vial|300/15 vial,intravenous,1.03,L1G9 (Monoclonal Antibody Antineoplastics Other)
ublituximab,relapsing forms of multiple sclerosis,450,every 24 weeks,150/6 vial,intravenous,2.47,N7A (Multiple Sclerosis Products)
ustekinumab,plaque psoriasis (≤100kg),45,every 12 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,0.49,N7A (Multiple Sclerosis Products)
ustekinumab,plaque psoriasis (>100kg),90,every 12 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,0.99,N7A (Multiple Sclerosis Products)
ustekinumab,psoriatic arthritis,45,every 12 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,0.49,N7A (Multiple Sclerosis Products)
ustekinumab,psoriatic arthritis with co-existent plaque psoriasis (>100kg),90,every 12 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,0.99,N7A (Multiple Sclerosis Products)
ustekinumab,Crohn's disease,90,every 8 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,1.48,N7A (Multiple Sclerosis Products)
ustekinumab,ulcerative colitis,90,every 8 weeks,45/0.5 syringe|90/1 syringe|45/0.5 vial|130/26 vial,subcutaneous,1.48,N7A (Multiple Sclerosis Products)
vedolizumab,moderately to severely active ulcerative colitis,300,every 8 weeks,300 vial,intravenous,4.93,A7E9 (Inflammatory Bowel Disorder Products Other)
vedolizumab,moderately to severely active ulcerative colitis,108,every 2 weeks,108/0.68 syringe|108/0.68 pen,subcutaneous,7.69,A7E9 (Inflammatory Bowel Disorder Products Other)
vedolizumab,moderately to severely active Crohn's disease,300,every 8 weeks,300 vial,intravenous,4.93,A7E9 (Inflammatory Bowel Disorder Products Other)
vedolizumab,moderately to severely active Crohn's disease,108,every 2 weeks,108/0.68 syringe|108/0.68 pen,subcutaneous,7.69,A7E9 (Inflammatory Bowel Disorder Products Other)
vilobelimab,COVID-19,800,"Days 1, 2, 4, 8, 15, 22",200/20 vial,intravenous,13.15,L4E (Complement Inhibitors)
zanidatamab,"previously treated, unresectable or metastatic HER2-positive biliary tract cancer",1400,every 2 weeks,300 vial,intravenous,99.73,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zenocutuzumab,"Advanced, unresectable or metastatic non-small cell lung cancer (NSCLC) harboring a neuregulin 1 (NRG1) gene fusion",750,every 2 weeks,375/18.75 vial,intravenous,53.42,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zenocutuzumab,"Advanced, unresectable or metastatic pancreatic adenocarcinoma harboring a neuregulin 1 (NRG1) gene fusion",750,every 2 weeks,375/18.75 vial,intravenous,53.42,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
zolbetuximab,locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction adenocarcinoma whose tumors are CLDN18.2 positive,680,every 3 weeks,100 vial|300 vial,intravenous,31.67,L1G9 (Monoclonal Antibody Antineoplastics Other)
